,Name,Latitude,Longitude,Street1,Street2,Street3,City,CountrySubdivisionCode,Income_x,Population_x,lat-API,long-API,target search add,Income_y,Population_y,Male Pop (%),White (%),Black (%),Asian (%),Hispanic (%),Employed (%),Travel Time to Work (mins),Median Age,Age <18 (%)
61,Hilton Meadowlands,40.81,-74.08,2 Meadowlands Plaza,,,East Rutherford,NJ,77400.0,9433.0,40.8051486,-74.0787538,"2 Meadowlands Plaza, East Rutherford, NJ",77400.0,9433.0,48.49,68.72,4.7,19.43,20.65,53.04,27.0,39.0,18.46
62,Eatontown,40.29,-74.05,178 Route 35,,,Eatontown,NJ,66470.0,12258.0,40.29152819999999,-74.0535875,"178 Route 35, Eatontown, NJ",66470.0,12258.0,47.75,73.87,10.72,8.34,13.57,52.91,22.0,46.2,19.0
63,Edgewater,40.81,-73.98,457 River Road,,Edgewater Commons,Edgewater,NJ,103505.0,12165.0,40.813139,-73.9846788,"457 River Road, Edgewater, NJ",103505.0,12165.0,45.45,55.36,5.18,35.66,13.54,52.58,37.0,42.2,20.48
64,Target Edgewater T-1263,40.81,-73.98,543 River Rd,,,Edgewater,NJ,103505.0,12165.0,40.81413810000001,-73.9830259,"543 River Rd, Edgewater, NJ",103505.0,12165.0,45.45,55.36,5.18,35.66,13.54,52.58,37.0,42.2,20.48
65,Edison,40.56,-74.35,1-11 Lincoln Highway,,Colonial Village,Edison,NJ,95622.0,102304.0,40.5594467,-74.3400978,"1-11 Lincoln Highway, Edison, NJ",95622.0,102304.0,48.83,36.35,7.13,49.02,9.58,50.14,34.0,50.2,22.24
66,Macy's-Menlo Park #8,40.54,-74.33,275 Menlo Park Mall,,,Edison,NJ,95622.0,102304.0,40.5475279,-74.3357654,"275 Menlo Park Mall, Edison, NJ",95622.0,102304.0,48.83,36.35,7.13,49.02,9.58,50.14,34.0,50.2,22.24
67,Menlo Park Mall,40.55,-74.34,100 Menol Park Dr.,,Menlo Park Mall,Edison,NJ,95622.0,102304.0,40.5474822,-74.33577269999999,"100 Menol Park Dr., Edison, NJ",95622.0,102304.0,48.83,36.35,7.13,49.02,9.58,50.14,34.0,50.2,22.24
68,Sheraton Edison,40.52,-74.34,125 Raritan Center Pkwy,,,Edison,NJ,95622.0,102304.0,40.5193292,-74.3408765,"125 Raritan Center Pkwy, Edison, NJ",95622.0,102304.0,48.83,36.35,7.13,49.02,9.58,50.14,34.0,50.2,22.24
69,Target Edison T-1055,40.55,-74.34,100 Parsonage Rd,,,Edison,NJ,95622.0,102304.0,40.5520186,-74.3321696,"100 Parsonage Rd, Edison, NJ",95622.0,102304.0,48.83,36.35,7.13,49.02,9.58,50.14,34.0,50.2,22.24
70,Jersey Gardens Mall,40.66,-74.17,651 Kapkowski Road,1456,Jersey Gardens,Elizabeth,NJ,45186.0,129363.0,40.6601883,-74.1713372,"651 Kapkowski Road, Elizabeth, NJ",45186.0,129363.0,49.8,46.63,19.16,1.79,64.11,48.2,25.0,37.3,26.2
71,Englewood,40.89,-73.97,17 E. Palisades Avenue,,,Englewood,NJ,80670.0,28509.0,40.8937794,-73.9741185,"17 E. Palisades Avenue, Englewood, NJ",80670.0,28509.0,47.08,45.79,30.77,12.33,24.52,51.55,33.0,42.5,21.7
72,Marlton,39.89,-74.93,300 State Route 73,Space A,,Evesham,NJ,94395.0,45489.0,39.8903095,-74.9239923,"300 State Route 73, Evesham, NJ",94395.0,45489.0,48.46,85.71,4.97,6.08,4.7,55.11,27.0,43.9,21.03
